,Validation Predicted
0,703987.0575024572
1,985996.8570765322
2,952223.9879347337
3,449456.29496701807
4,342411.4010440474
5,939666.8750388123
6,560029.4892544267
7,1535578.530718307
8,402090.6232381269
9,491527.56725699926
10,318753.41977280827
11,493215.63432639977
12,246741.3278190028
13,1799984.2482195403
14,472402.108391297
15,351482.762595781
16,505544.9119576687
17,1093807.933403979
18,1314605.3480278112
19,489303.9865907529
20,514058.2268650528
21,998690.8790372576
22,400549.82343572273
23,954822.5102484626
24,314807.68216372846
25,122858.61250117184
26,1430065.5269491756
27,1777422.82553899
28,954822.5102484626
29,441326.61608367844
30,576748.738718254
31,1113537.280645795
32,416083.0176638475
33,984092.0050910806
34,438611.5556963999
35,1181355.2043626055
36,149176.11218693163
37,1651464.4873405294
38,695827.910523043
39,461156.16233640426
40,1427306.1365735321
41,334996.5871338967
42,360930.2216017021
43,120376.44900778183
44,1872387.589549858
45,1193092.6847670162
46,448016.55740867386
47,883242.4151374421
48,530232.0564104769
49,696398.8438031751
50,1419082.894736842
51,1249110.1423699642
52,97075.19629238402
53,304943.0419179119
54,321869.37136859895
55,1003197.883216626
56,363543.41576334037
57,119488.44871142425
58,953278.8350665106
59,601636.0440512258
60,432813.8156948134
61,1431130.8615967622
62,489303.9865907529
63,489303.9865907529
64,399620.5146613128
65,289105.4117492953
66,967677.2958075289
67,651956.7617881332
68,1691300.3264168561
69,548705.8961885964
70,560431.4177504802
71,402129.0211096302
72,757135.8738283205
73,477547.80880317255
74,324216.43707305385
75,1286475.0527254753
76,720125.130328662
77,459526.8263523514
78,942489.5216989346
79,699632.947819084
80,292452.7083520886
81,295857.24490287655
82,944033.1968808866
83,1191013.9957798817
84,317375.0144221114
85,95905.5477726955
86,1677317.2015082445
87,777331.5769179607
88,504190.5720751849
89,321631.27635705826
90,382565.6034084034
91,251139.26269832058
92,381839.55221390806
93,703987.0575024572
94,1700571.219132071
95,416090.14276872174
96,1343001.4047660548
97,541852.6152443693
98,983528.5806839785
99,504190.5720751849
100,911220.0624052222
101,370375.9497668511
102,1344067.772756664
103,375882.6418010651
104,1117164.0890124703
105,506465.8489648729
106,578033.7389985045
107,526253.256813258
108,404808.7882339321
109,2050948.3339375036
110,952223.9879347337
111,353101.230093692
112,1020763.7596671868
113,641408.0838497704
114,952223.9879347337
115,489303.9865907529
116,322784.18356519705
117,1131666.6642825457
118,769137.1260828772
119,414466.72020115866
120,504190.5720751849
121,1428135.9857955766
122,278208.2340274356
123,92510.0152669188
124,1268168.2095055156
125,128650.20973563053
126,392609.04248366476
127,392799.6894527839
128,952223.9879347337
129,1195675.5863803627
130,403573.4677378117
131,899128.2070100219
132,253885.92869242822
133,303907.7233833948
134,436037.32349280437
135,175744.61510652126
136,449456.29496701807
137,954822.5102484626
138,1426143.135632448
139,545939.1305748873
140,489303.9865907529
141,1687574.7433639946
142,359296.8243144981
143,384186.31030518486
144,399620.5146613128
145,458961.4917986069
146,944033.1968808866
147,1414256.3224057555
148,1135821.055142371
149,1131258.6435862973
150,431692.1733739229
151,862926.3501379057
152,671800.6549090946
153,938433.1965036866
154,985679.6681337798
155,493215.63432639977
156,446850.1301518142
157,952223.9879347337
158,230399.45718086127
159,128300.78728795191
160,1379872.7507521403
161,707775.7576452473
162,706454.4805820114
163,954822.5102484626
164,1342066.5831417295
165,321084.81543877395
166,903811.9534247082
167,260993.18152964034
168,208595.17070200923
169,1658926.283391172
170,903762.1352192131
171,923084.6116425215
172,609907.8009319137
173,214966.94210730796
174,1100906.3447106353
175,92337.64136963985
176,346645.7160994014
177,449456.29496701807
178,489303.9865907529
179,954822.5102484626
180,313420.0805488256
181,185781.82184194776
182,1314041.4083445824
183,787338.0607536401
184,542819.3339903553
185,305212.28383991687
186,489303.9865907529
187,954822.5102484626
188,392805.029166452
189,322789.35666141036
190,952223.9879347337
191,1869002.175493651
192,952223.9879347337
193,713381.8068964605
194,1009748.463362894
195,981880.2113203668
196,333907.65518115135
197,799538.3726558308
198,321631.27635705826
199,953278.8350665106
200,323449.74959959975
201,952223.9879347337
202,462656.3458061468
203,389655.09445369005
204,1286870.6111870585
205,93545.1048556708
206,400549.82343572273
207,1186790.126920166
208,974900.0
209,489303.9865907529
210,346567.0667443838
211,1993792.9296700815
212,1322590.2488018032
213,583885.7272313355
214,973681.9905643909
215,954822.5102484626
216,59600.958702135154
217,1359874.5775494343
218,472931.9138121974
219,274862.7037142385
220,1159923.517861469
221,950680.3127527818
222,1092183.8881635144
223,429425.7242048159
224,709276.6885465431
225,682814.1481559121
226,379688.545348185
227,514897.9923908617
228,513609.1115978993
229,883321.1417404697
230,642968.0305771135
231,1185300.7256002915
232,658289.0955777753
233,364470.79955890705
234,320971.83684933325
235,350986.36455847777
236,666376.6912565916
237,321631.27635705826
238,601032.6629549689
239,478188.5109093948
240,319135.33224386495
241,122704.01511391078
242,952223.9879347337
243,506223.5644486435
244,963629.2228816799
245,93104.44130792643
246,1781225.2087516086
247,351686.3003779411
248,1814940.0313734105
249,340246.4845397901
250,325838.36257013323
251,424329.3333802711
252,133106.58414419054
253,402129.0211096302
254,253698.3207041086
255,548543.0352399133
256,2098400.2575789187
257,94165.99022134393
258,398609.9779766888
259,1240260.1756690359
260,784695.4774429619
261,904257.4546151578
262,616295.5763532139
263,970027.8242172943
264,1346859.0349068374
265,514803.66469501314
266,701091.0926867308
267,187848.80921660538
268,189092.68213091893
269,1094877.6663650284
270,344928.6329019722
271,1003197.883216626
272,1263338.094157456
273,952223.9879347337
274,313983.00378587627
275,1312582.7269537717
276,489303.9865907529
277,1054108.2297687405
278,500322.8335723938
279,308776.2951367087
280,318282.0960748895
281,625090.8468200733
282,954822.5102484626
283,340773.37020694395
284,115732.1758406248
285,328683.5229087097
286,490469.8733987221
287,489303.9865907529
288,451848.2673623958
289,1139783.4948873888
290,321869.37136859895
291,679498.0347406307
292,809678.2037727549
293,949402.4493775199
294,676392.4284619199
295,586991.0707365857
296,133181.988408075
